ID,source,target
Map153.Event[5].Page[1].list.command[0],____TEXT____,
Map153.Event[5].Page[1].list.command[1].textData,Безлунница мертва...,
Map153.Event[5].Page[1].list.command[4],____TEXT____,
Map153.Event[5].Page[1].list.command[5].textData,Ты можешь использовать здесь \c[2]Камень душ\c[0]...,
Map153.Event[5].Page[1].list.command[6],___CHOICE___,
Map153.Event[5].Page[1].list.command[6].textChoice[0],Да,
Map153.Event[5].Page[1].list.command[6].textChoice[1],Нет,
Map153.Event[5].Page[1].list.command[9],____TEXT____,
Map153.Event[5].Page[1].list.command[10].textData,\c[2]Камень душ\c[0] меняет свой облик.,
Map153.Event[5].Page[1].list.command[11].textData,Теперь он излучает слабый синий свет.,
Map153.Event[6].Page[1].list.command[0],____TEXT____,
Map153.Event[6].Page[1].list.command[1].textData,Здесь лежит \N[6]...,
Map153.Event[6].Page[1].list.command[4],____TEXT____,
Map153.Event[6].Page[1].list.command[5].textData,Ты можешь использовать здесь \c[2]Камень душ\c[0]...,
Map153.Event[6].Page[1].list.command[6],___CHOICE___,
Map153.Event[6].Page[1].list.command[6].textChoice[0],Да,
Map153.Event[6].Page[1].list.command[6].textChoice[1],Нет,
Map153.Event[6].Page[1].list.command[8],____TEXT____,
Map153.Event[6].Page[1].list.command[9].textData,.\|.\|.\|.,
Map153.Event[6].Page[1].list.command[10],____TEXT____,
Map153.Event[6].Page[1].list.command[11].textData,[2]Камень душ\c[0] не реагирует на его останки...,
Map153.Event[7].Page[1].list.command[0],____TEXT____,
Map153.Event[7].Page[1].list.command[1].textData,Здесь лежит \N[5]...,
Map153.Event[7].Page[1].list.command[4],____TEXT____,
Map153.Event[7].Page[1].list.command[5].textData,Ты можешь использовать здесь \c[2]Камень душ\c[0]...,
Map153.Event[7].Page[1].list.command[6],___CHOICE___,
Map153.Event[7].Page[1].list.command[6].textChoice[0],Да,
Map153.Event[7].Page[1].list.command[6].textChoice[1],Нет,
Map153.Event[7].Page[1].list.command[9],____TEXT____,
Map153.Event[7].Page[1].list.command[10].textData,\c[2]Камень душ\c[0] меняет свой облик.,
Map153.Event[7].Page[1].list.command[11].textData,Теперь он излучает слабый синий свет.,
Map153.Event[8].Page[1].list.command[0],____TEXT____,
Map153.Event[8].Page[1].list.command[1].textData,Здесь лежит \N[4]...,
Map153.Event[8].Page[1].list.command[4],____TEXT____,
